#V1[dg]	V2[dg]
0 		0
8 		7
7 		5
25 		20
15 		13
9 		40
27 		23
16 		13
45 		37
25 		22
71 		58
38 		32
21 		89
54 		45
29 		24
75 		62
38 		33
102		83
49 		42
26 		116
64 		55
34 		28
83 		69
42 		36
112		89
53 		45
40 		129
68 		57
35 		30
86 		72
44 		38
119		94
56 		48
56 		141
71 		59
37 		31
91 		75
46 		39
129		98
58 		49
81 		140
72 		61
38 		32
93 		77
48 		41
140		99
59 		50
95 		140
75 		63
39 		46
96 		79
49 		41
140		103
61 		52
107		140
77 		65
41 		60
100		83
51 		43
141		108
63 		53
127		141
80 		67
42 		87
103		85
52 		44
140		111
65 		55
133		140
82 		69
42 		100
107		88
54 		45
139		116
67 		57
137		140
85 		72
45 		113
111		90
56 		47
140		124
70 		59
138		140
88 		74
46 		123
117		94
57 		49
140		141
72 		61
139		140
90 		76
48 		131
124		97
59 		50
140		140
75 		63
140		141
94 		79
49 		136
141		101
61 		52
141		141
77 		65
140		141
97 		81
50 		138
141		105
63 		53
140		141
79 		67
140		141
101		84
52 		140
141		109
65 		55
141		140
81 		69
140		140
105		88
54 		139
140		113
67 		56
140		141
84 		71
139		140
108		89
55 		140
140		120
69 		58
140		140
87 		74
140		140
113		92
57 		140
141		130
71 		60
140		140
90 		76
139		140
120		95
71 		139
140		141
73 		62
140		140
93 		78
140		140
129		99
86 		140
141		141
76 		64
141		141
95 		80
140		140
141		102
112		140
140		141
77 		65
140		140
97 		82
140		141
141		104
124		140
140		140
79 		80
141		141
101		85
140		140
141		109
132		140
140		141
82 		95
140		140
104		87
140		140
140		111
138		140
140		140
83 		120
140		140
107		89
140		141
141		117
139		140
140		140
85 		130
140		140
111		92
140		140
140		125
140		140
140		140
88 		135
140		141
117		94
140		140
140		141
140		140
140		140
91 		138
140		140
125		97
140		140
140		140
140		141
140		141
94 		139
140		141
141		101
140		141
140		141
140		141
140		140
97 		140
140		140
141		104
140		140
140		141
140		140
140		140
100		140
140		140
141		108
140		141
140		140
140		140
140		140
104		140
140		141
141		114
141		141
141		142
141		141
141		141
108		141
141		141
141		119
141		141
141		141
141		141
141		141
113		141
141		141
141		130
141		141
141		141
141		141
141		140
119		141
141		141
141		141
141		141
141		141
141		141
141		141
139		141
141		141
